id,text
6.0,"{""type"": ""PRODUCT"", ""prices"": [{""price"": 144.99, ""currency"": ""RUB"", ""price_per"": ""UNIT"", ""discount_type"": ""NO_DISCOUNT"", ""price_is_discounted"": false, ""uncertain"": false, ""with_vat"": true}, {""price"": 129.99, ""currency"": ""RUB"", ""price_per"": ""UNIT"", ""discount_type"": ""SALE"", ""price_is_discounted"": true, ""uncertain"": false, ""with_vat"": true}, {""price"": 144.99, ""currency"": ""RUB"", ""price_per"": ""LITER"", ""discount_type"": ""NO_DISCOUNT"", ""price_is_discounted"": false, ""uncertain"": false, ""with_vat"": true}, {""price"": 129.99, ""currency"": ""RUB"", ""price_per"": ""LITER"", ""discount_type"": ""SALE"", ""price_is_discounted"": true, ""uncertain"": false, ""with_vat"": true}], ""origins"": null, ""organic"": false, ""barcode"": ""4680140271160"", ""product_name"": ""Напиток безалкогольный ABRAU LIGHT Аромат. розовый с газ. (Россия) 0.25L"", ""category"": null, ""has_multiple_categories"": null, ""uncertain_barcode_or_product_name"": false, ""is_price_tag"": true}"
5.0,"{""type"": ""PRODUCT"", ""prices"": [{""price"": 252.0, ""currency"": ""RUB"", ""price_per"": ""LITER"", ""discount_type"": ""NO_DISCOUNT"", ""price_is_discounted"": false, ""uncertain"": false, ""with_vat"": true}, {""price"": 129.99, ""currency"": ""RUB"", ""price_per"": ""UNIT"", ""discount_type"": ""SALE"", ""price_is_discounted"": true, ""uncertain"": false, ""with_vat"": true}], ""origins"": null, ""organic"": false, ""barcode"": ""4600000000000"", ""product_name"": ""SANTO STEFANO Rosso (Pocca) 0.75L"", ""category"": null, ""has_multiple_categories"": null, ""uncertain_barcode_or_product_name"": false, ""is_price_tag"": true}"
4.0,"{""type"": ""PRODUCT"", ""prices"": [{""price"": 11.99, ""currency"": ""EUR"", ""price_per"": ""UNIT"", ""discount_type"": ""NO_DISCOUNT"", ""price_is_discounted"": false, ""uncertain"": false, ""with_vat"": true}, {""price"": 16.84, ""currency"": ""EUR"", ""price_per"": ""KILOGRAM"", ""discount_type"": ""NO_DISCOUNT"", ""price_is_discounted"": false, ""uncertain"": false, ""with_vat"": true}], ""origins"": null, ""organic"": false, ""barcode"": null, ""product_name"": ""CARL JUNG CEREA"", ""category"": null, ""has_multiple_categories"": null, ""is_price_tag"": true, ""uncertain_barcode_or_product_name"": false}"
3.0,"{""type"": ""PRODUCT"", ""prices"": [{""price"": 699.99, ""currency"": ""RUB"", ""price_per"": ""UNIT"", ""discount_type"": ""NO_DISCOUNT"", ""price_is_discounted"": false, ""uncertain"": false, ""with_vat"": true}, {""price"": 1358.0, ""currency"": ""RUB"", ""price_per"": ""KILOGRAM"", ""discount_type"": ""NO_DISCOUNT"", ""price_is_discounted"": false, ""uncertain"": false, ""with_vat"": true}], ""origins"": null, ""organic"": false, ""barcode"": null, ""product_name"": ""Вино безалкогольное LE PETIT SECRET"", ""category"": null, ""has_multiple_categories"": null, ""is_price_tag"": true, ""uncertain_barcode_or_product_name"": false}"
2.0,"{""type"": ""PRODUCT"", ""prices"": [{""price"": 144.99, ""currency"": ""RUB"", ""price_per"": ""LITER"", ""discount_type"": ""NO_DISCOUNT"", ""price_is_discounted"": false, ""uncertain"": false, ""with_vat"": true}, {""price"": 129.99, ""currency"": ""RUB"", ""price_per"": ""LITER"", ""discount_type"": ""SALE"", ""price_is_discounted"": true, ""uncertain"": false, ""with_vat"": true}], ""origins"": null, ""organic"": false, ""barcode"": ""4680140274438"", ""product_name"": ""Напиток безалкогольный ABRAU LIGHT Аромат. с/газ. (Россия) 0.25L"", ""category"": null, ""has_multiple_categories"": null, ""uncertain_barcode_or_product_name"": false, ""is_price_tag"": true}"
1.0,"{""type"": ""PRODUCT"", ""prices"": [{""price"": 129.99, ""currency"": ""RUB"", ""price_per"": ""LITER"", ""discount_type"": ""NO_DISCOUNT"", ""price_is_discounted"": false, ""uncertain"": false, ""with_vat"": true}, {""price"": 252.11, ""currency"": ""RUB"", ""price_per"": ""LITER"", ""discount_type"": ""NO_DISCOUNT"", ""price_is_discounted"": false, ""uncertain"": false, ""with_vat"": true}], ""origins"": [null], ""organic"": false, ""barcode"": ""4730025474558"", ""product_name"": ""Напиток безалкогольный SANTO STEFANO Bianco (Россия) 0.25L"", ""category"": null, ""has_multiple_categories"": false, ""uncertain_barcode_or_product_name"": false, ""is_price_tag"": true}"
9.0,"{""type"": ""PRODUCT"", ""prices"": [{""price"": 10.6, ""currency"": ""RUB"", ""price_per"": ""UNIT"", ""discount_type"": ""NO_DISCOUNT"", ""price_is_discounted"": false, ""uncertain"": false, ""with_vat"": true}], ""origins"": null, ""organic"": false, ""barcode"": null, ""product_name"": ""MUSCHI MAS бел. пш. сух. Астрахань 0.75л"", ""category"": null, ""has_multiple_categories"": false, ""is_price_tag"": true, ""uncertain_barcode_or_product_name"": false}"
10.0,"{""type"": ""PRODUCT"", ""prices"": [{""price"": 259.99, ""currency"": ""RUB"", ""price_per"": ""UNIT"", ""discount_type"": ""NO_DISCOUNT"", ""price_is_discounted"": false, ""uncertain"": false, ""with_vat"": true}, {""price"": 529.98, ""currency"": ""RUB"", ""price_per"": ""UNIT"", ""discount_type"": ""NO_DISCOUNT"", ""price_is_discounted"": false, ""uncertain"": false, ""with_vat"": true}], ""origins"": null, ""organic"": false, ""barcode"": ""547"", ""product_name"": ""Мука белая бездрожжевая ABRAD LIGHT Zero"", ""category"": null, ""has_multiple_categories"": null, ""is_price_tag"": true, ""uncertain_barcode_or_product_name"": false}"
11.0,"{""type"": ""PRODUCT"", ""prices"": [{""price"": 10.49, ""currency"": ""EUR"", ""price_per"": ""UNIT"", ""discount_type"": ""NO_DISCOUNT"", ""price_is_discounted"": false, ""uncertain"": false, ""with_vat"": true}, {""price"": 23.0, ""currency"": ""EUR"", ""price_per"": ""UNIT"", ""discount_type"": ""SALE"", ""price_is_discounted"": true, ""uncertain"": false, ""with_vat"": true}], ""origins"": null, ""organic"": false, ""barcode"": null, ""product_name"": ""BANANE BIODYNAMIQUE LE PETIT BERET Rose Privilege [France] 0 PZ"", ""category"": null, ""has_multiple_categories"": null, ""is_price_tag"": true, ""uncertain_barcode_or_product_name"": false}"
7.0,"{""type"": ""PRODUCT"", ""prices"": [{""price"": 129.99, ""currency"": ""RUB"", ""price_per"": ""UNIT"", ""discount_type"": ""NO_DISCOUNT"", ""price_is_discounted"": false, ""uncertain"": false, ""with_vat"": true}, {""price"": 116.99, ""currency"": ""RUB"", ""price_per"": ""UNIT"", ""discount_type"": ""QUANTITY"", ""price_is_discounted"": true, ""uncertain"": false, ""with_vat"": true}], ""origins"": null, ""organic"": false, ""barcode"": null, ""product_name"": ""АБРИКОС ЛИГТ Абрикос разливной с/в (Россия) 2.25л"", ""category"": null, ""has_multiple_categories"": null, ""is_price_tag"": true, ""uncertain_barcode_or_product_name"": false}"
